"en","es","context"
"A little bad","Un poco mal",""
"A little bit","Un poquito",""
"Account","Cuenta",""
"Account menu","Menú de cuenta",""
"Activities","Actividades",""
"Add a past problem","Agregar un problema anterior",""
"Add as a new symptom:","Agregar como nuevo síntoma:",""
"Almost all the time","Casi todo el tiempo",""
"Anxiety","Ansiedad",""
"Arm pain","Dolor de brazo",""
"Back","Atrás",""
"Back pain","Dolor de espalda",""
"Bad","Mal",""
"Bathing","Bañarse",""
"Blister","Ampolla",""
"Blurry vision","Visión borrosa",""
"Body Parts","Partes del cuerpo",""
"Bruise","Moretón",""
"Bruising","Moretones",""
"Bumps or rash","Bultos o sarpullido",""
"Buttocks","Glúteos",""
"Campus Carry","Política de armas en el campus",""
"Can't find what you are looking for? Click the add button:","¿No encuentras lo que buscas? Haz clic en el botón agregar:",""
"Cancel","Cancelar",""
"Chest","Pecho",""
"Chest pain","Dolor de pecho",""
"Cizik School of Nursing at UTHealth Houston","Escuela de Enfermería Cizik en UTHealth Houston",""
"Clear","Borrar",""
"Clear search","Borrar búsqueda",""
"Click to edit responses","Haz clic para editar las respuestas",""
"Close","Cerrar",""
"Close walkthrough","Cerrar tutorial",""
"Coming soon","Próximamente",""
"Complete all tutorial steps to log out","Completa todos los pasos del tutorial para cerrar sesión",""
"Constipation","Estreñimiento",""
"Continue →","Continuar →",""
"Copyright 2019-2025 - The University of Texas Health Science Center at Houston (UTHealth Houston) Powered by Center for Digital Health and Analytics at McWilliams School of Biomedical Informatics at UTHealth Houston","Copyright 2019-2025 — The University of Texas Health Science Center at Houston (UTHealth Houston). Desarrollado por el Center for Digital Health and Analytics de la McWilliams School of Biomedical Informatics en UTHealth Houston.",""
"Cough","Tos",""
"Cramps","Calambres",""
"Dandruff","Caspa",""
"Delete a problem","Eliminar un problema",""
"Department of Research","Departamento de Investigación",""
"Depression","Depresión",""
"Did not have any","No tuve ningún problema",""
"Done","Listo",""
"Dry mouth","Boca seca",""
"Dry skin","Piel seca",""
"Ear pain","Dolor de oído",""
"Eating","Comer",""
"Edit your problems","Edita tus problemas",""
"Email: SPOTS@uth.tmc.edu","Correo: SPOTS@uth.tmc.edu",""
"Emergency Information","Información de emergencia",""
"Eye pain","Dolor de ojos",""
"Eye strain","Fatiga ocular",""
"Eyes hurt","Dolor en los ojos",""
"Fast heartbeat","Latidos rápidos del corazón",""
